"tarih","saat","YukTahminPlan(MWh)","PTF(TL/MWh)","SMF(TL/MWh)","KGUP(TL/MWh)","YAL0(TL/MWh)","YAL1(TL/MWh)","YAT0(TL/MWh)","YAT1(TL/MWh)","YAL TeslimEdilemeyenMiktar(MWh)","YAT TeslimEdilemeyenMiktar(MWh)","PFK Fiyat","SFK Fiyat"
"201802",21,"33600","216.62","122.01","29928.95","0","0","1840.4","0","0","240.518","54.9","80.08"
"201802",22,"33500","215.59","156.69","29358.24","0","0","1158","0","0","150.08","54.9","80.08"
"201802",23,"32500","185","160","28397.6","0","0","164.332","0","0","5","54.9","80.08"
"201802",0,"31000","184.98","126.01","27841.09","0","0","1135.21","0","0","116.31","54.9","66.67"
"201802",1,"29400","178.98","126.01","25835.07","0","0","1123.017","0","0","389.653","54.9","66.67"
"201802",2,"28100","178.99","126.11","24987.72","71.5","0","633.4","0","0.011","81.91","54.9","66.67"
"201802",3,"27600","161.99","113","24375.58","0","0","1161.4","0","0","235.21","54.9","66.67"
"201802",4,"27300","168.91","114","24142.27","0","0","1075","0","0","170.43","54.9","66.98"
"201802",5,"27700","178.98","120","24329.75","0","0","1072.548","0","0","176.743","54.9","66.98"
"201802",6,"28900","184.98","126.01","25120.16","0","0","1047.7","0","0","82.766","54.9","66.98"
"201802",7,"32700","169.11","169.11","27475.21","698.686","0","519.099","0","157.262","263.709","54.9","66.98"
"201802",8,"37600","174.99","183.88","32299.71","595.25","0","242.55","0","96.31","0.137","55.15","58.98"
"201802",9,"40700","216.57","230","35195.54","989","0","42.467","0","232.226","1","55.15","58.98"
"201802",10,"41400","216.37","228.26","35737.15","1030","0","75","0","265.89","0","55.15","58.98"
"201802",11,"41700","216.38","226.38","36227.22","862.85","0","98.7","0","244.39","1.628","55.15","58.98"
"201802",12,"39900","177.21","150","34639.69","0","0","577.349","0","0","157.257","58.9","46.9"
"201802",13,"40000","204.79","140","34941.94","0","0","974.384","0","0","211.447","58.9","46.9"
"201802",14,"40300","215.96","130","35358.43","0","0","1099.118","0","0","227.949","58.9","46.9"
"201802",15,"39900","215.86","130","34913.25","0","0","1335","0","0","210.077","58.9","46.9"
"201802",16,"40300","217.41","130","35481.95","37.5","0","1417","0","35","98.305","58.9","45.89"
"201802",17,"41000","216.93","130","35960.51","0","0","1062.45","0","0","101.42","58.9","45.89"
"201802",18,"41200","216.25","130","36368.19","0","0","922.417","0","0","47.97","58.9","45.89"
"201802",19,"40000","175.75","130","35756.78","0","0","236.533","0","0","24.4","58.9","45.89"
"201802",20,"39000","183.99","127.27","34761.77","0","0","591.5","0","0","83.67","54.9","45.01"
"201802",22,"37200","189.99","140","33379.63","0","0","474.217","0","0","65.512","54.9","45.01"
"201802",23,"36000","181.9","140","32224.34","0","0","237.417","0","0","10.597","54.9","45.01"
"201802",0,"33400","191.75","139.17","30506.15","0","0","952.15","0","0","116.28","44.8","47.8"
"201802",1,"31600","177.49","137.49","28111.9","0","0","511.767","0","0","110.06","44.8","47.8"
"201802",2,"30300","179.64","139.64","26885.32","0","0","510","0","0","100.29","44.8","47.8"
"201802",3,"29500","162","131.53","26172.89","0","0","370","0","0","55.78","44.8","47.8"
"201802",4,"29400","157","126.53","26020.13","0","0","315","0","0","43.6","49.9","54.14"
"201802",5,"29700","162","122","26422.55","0","0","477","0","0","42.48","49.9","54.14"
"201802",6,"30700","168.99","138.53","27221.07","0","0","437.049","0","0","37.36","49.9","54.14"
"201802",7,"33400","184.98","185","29299.8","325.917","0","38.133","0","103.553","0","49.9","54.14"
"201802",8,"37900","181.9","191.9","32941.72","1414.483","0","195.584","0","273.759","0","59.9","57"
"201802",9,"41000","216.29","226","35491.17","1014.235","0","62.067","0","293.455","0","59.9","57"
"201802",10,"41600","215.93","215.93","35659.25","0","0","79.899","0","0","1","59.9","57"
"201802",11,"41900","215.69","215.69","35725.25","0","0","193.899","0","0",NULL,"59.9","57"
"201802",12,"40500","181.9","125","34677.83","0","0","973.652","0","0","133.003","59.9","47.98"
"201802",13,"40900","204.8","125.76","34844.67","0","0","1544.266","0","0","115.412","59.9","47.98"
"201802",14,"41200","215.43","127.27","35298.86","0","0","1635","0","0","92.21","59.9","47.98"
"201802",15,"41200","215.48","127.27","35037.33","0","0","1571","0","0","139.48","59.9","47.98"
"201802",16,"41400","216.93","130","35289.87","0","0","1625","0","0","190.57","59.9","45.49"
"201802",17,"41700","216.06","127.27","35902.74","0","0","1463","0","0","120.7","59.9","45.49"
"201802",18,"41300","217.47","157.6","36588.81","0","0","632","0","0","55.26","59.9","45.49"
"201802",19,"40000","215.13","215.13","36005.01","275","0","0","0","22.3","0","59.9","45.49"
"201802",20,"39000","215.58","215.58","34965","123.75","0","0","0","8.7","0","54.9","45.2"
"201802",21,"37800","214.8","214.8","34007.77",NULL,NULL,NULL,NULL,NULL,NULL,"54.9","45.2"
"201802",22,"37300","190","190","33843.64",NULL,NULL,NULL,NULL,NULL,NULL,"54.9","45.2"
"201802",23,"35700","189.99","151","32568.53","0","0","397.85","0","0","63.218","54.9","45.2"
"201802",0,"33500","200.19","129.33","30389.6","0","0","1036.717","0","0","91.022","44.8","42.12"
"201802",1,"31300","176.98","176.98","28115.97","0","0","312.067","0","0","19.8","44.8","42.12"
"201802",2,"29800","149.99","149.99","26715.43","480.883","0","0","0","208.853","0","44.8","42.12"
"201802",3,"28800","161.99","161.99","25987.25","515","0","0","0","300.99","0","44.8","42.12"
"201802",4,"28600","149.98","159.98","25803.87","698.85","0","0","0","285.398","0","49.9","39.8"
"201802",5,"28800","129.99","129.99","26128.21",NULL,NULL,NULL,NULL,NULL,NULL,"49.9","39.8"
"201802",6,"29800","149.99","149.99","26882.78","411.25","0","0","0","210.41","0","49.9","39.8"
"201802",7,"31900","194.95","194.95","28864.92","1498.667","0","0","0","854.797","0","49.9","39.8"
"201802",8,"36100","200","205","33222.81","1533.865","0","144.8","0","313.122","0","49.9","58.92"
"201802",9,"38700","216.43","216.43","35483.02","605.701","0","162.232","0","94.018","4.11","49.9","58.92"
"201802",10,"39000","215.83","215.83","35681.95","0","0","428","0","0","15","49.9","58.92"
"201802",11,"39100","215.39","172.51","35801.88","0","0","983.299","0","0","198.77","49.9","58.92"
"201802",12,"37700","174.99","129.33","33987.64","0","0","1887.15","0","0","510.531","49.9","56.79"
"201802",13,"37700","175","129.33","33542.65","0","0","2342.132","0","0","580.243","49.9","56.79"
"201802",14,"37700","175.06","175.06","33842.44","0","0","359.182","0","0","85.39","49.9","56.79"
"201802",15,"37500","170.21","170.21","33561.17","0","0","138","0","0","70.84","49.9","56.79"
"201802",16,"37700","195.06","195.06","33769.79","116.666","0","236","0","0","79.64","49.9","58.14"
"201802",17,"37700","169","174","34109.88","223.667","0","25.3","0","15.22","2.047","49.9","58.14"
"201802",18,"38700","169","178.9","34953.04","616.15","0","0","0","295.602","0","49.9","58.14"
"201802",19,"38300","167","185","34372.98","1924","0","0","0","507.737","0","49.9","58.14"
"201802",20,"37800","189.79","189.79","33353.23","1424.716","0","0","0","65.24","0","44.8","43.19"
"201802",21,"36700","179.99","179.99","32715.97","940.8","0","0","0","70.8","0","44.8","43.19"
"201802",22,"36100","172.99","172.99","32530.85","432","0","0","0","32","0","44.8","43.19"
"201802",23,"34800","161.99","179","31679.79","1303.8","0","110","0","299.447","2.25","44.8","43.19"
"201802",0,"32200","178.54","178.54","29096.01","270.166","0","0","0","90.283","0","39.8","60.1"
"201802",1,"30100","176.21","181.21","27067.89","2509.317","0","14.583","0","1242.037","3","39.8","60.1"
"201802",2,"29100","160.98","175.9","26101.78","1392","0","0","0","242.873","0","39.8","60.1"
"201802",3,"28400","152","175","25412.12","1379.133","0","0","0","231.921","0","39.8","60.1"
"201802",4,"28300","129.99","146.27","25444.56","871.249","0","0","0","229.477","0","40","67.16"
"201802",5,"28700","152.8","154","25622.18","226.268","0","0","0","127.772","0","40","67.16"
"201802",6,"29900","175.21","175.21","27026.51",NULL,NULL,NULL,NULL,NULL,NULL,"40","67.16"
"201802",7,"32400","178","179.8","28135.69","1399.616","0","12.917","0","887.273","0","40","67.16"
"201802",8,"36700","175.06","180.06","32482.84","2107.066","0","200","0","791.2","1.75","48","58"
"201802",9,"38300","205.04","205.04","34385.65","485.798","0","225.2","0","25.47","0.148","48","58"
"201802",10,"38300","204.79","204.79","34712.49","145.517","0","94.55","0","0","0","48","58"
"201802",11,"38600","204.8","204.8","35296.83","0","0","13.3","0","0",NULL,"48","58"
"201802",12,"36200","163.01","163.01","33324.84","0","0","62.466","0","0","0.447","43.8","54.89"
"201802",13,"36200","152.99","152.99","33159.65","116.666","0","156.566","0","0","1.69","43.8","54.89"
"201802",14,"36500","160.98","172.9","33522.79","1234.884","0","0","0","325.126","0","43.8","54.89"
"201802",15,"36300","160.98","178","33181.38","1684.167","0","0","0","229.67","0","43.8","54.89"
"201802",16,"36800","173.01","180","33350.69","1735.217","0","0","0","324.267","0","43.8","48.8"
"201802",17,"37600","175.06","180","34224.68","1612","0","0","0","161.2","0","43.8","48.8"
"201802",18,"38600","175.06","180.06","34876.24","1229","0","0","0","174","0","43.8","48.8"
"201802",19,"38500","182.28","198","34477.5","2023.5","0","0","0","223.507","0","43.8","48.8"
"201802",20,"37700","201.64","206.64","33549.59","3202.816","0","0","0","992.433","0","43","48.8"
"201802",21,"36700","199.99","201","32528.51","1896","0","0","0","962.9","0","43","48.8"
"201802",22,"35900","175","180","32302.91","1202.8","0","0","0","216.59","0","43","48.8"
"201802",23,"34300","130","164.78","31037.91","2138.417","0","282.751","0","327.447","4.93","43","48.8"
"201802",0,"32100","196.99","198","28293.48","1463.117","0","44.917","0","354.617","0.731","39.9","47.89"
"201802",1,"29900","196.98","196.98","26391.65","1218.617","0","0","0","157.9","0","39.9","47.89"
"201802",2,"28900","130","146.28","25182.68","1104.067","0","0","0","312.263","0","39.9","47.89"
"201802",3,"28200","129.99","147.89","24442.31","1277","0","0","0","371.038","0","39.9","47.89"
"201802",4,"28100","130","147.9","24256.31","1277","0","0","0","364.462","0","39.9","62"
"201802",5,"28500","167","167.1","24468.93","2705","0","0","0","1714.02","0","39.9","62"
"201802",6,"29700","182.22","182.32","25656.97","2764","0","0","0","1410.402","0","39.9","62"
"201802",7,"32200","185","190","27550.46","2543.066","0","0","0","745.301","0","39.9","62"
"201802",8,"36500","184.84","199.17","31570.92","1271.233","0","0","0","187.891","0","57.01","60.27"
"201802",9,"38100","215.01","231.29","33676.38","2552.367","0","14","0","1081.68","0","57.01","60.27"
"201802",10,"38100","203.18","218.18","33848.87","1224.5","0","0","0","238.468","0","57.01","60.27"
"201802",11,"38400","184.85","199.85","33962.03","1291.399","0","61.067","0","244.09","1.4","57.01","60.27"
"201802",12,"35800","159.69","167","32297.02","413.333","0","33.333","0","140.9","0","46","47.89"
"201802",13,"35800","128.99","127.77","31083.56","0","0","660.85","0","0","136","46","47.89"
